时间,交易对,操作,价格,数量,盈亏金额,盈亏比例,买入手续费,卖出手续费,原因
2025-04-20 04:51:05,BTC/USDT,BUY,85226.410000,0.001000,,,0.085226,,
2025-04-20 04:52:00,BTC/USDT,STOP_LOSS,85201.090000,0.001000,-0.195748,-0.23,0.085226,0.085201,atr
2025-04-20 04:52:25,BTC/USDT,BUY,85201.090000,0.001000,,,0.085201,,
2025-04-20 04:59:46,ETH/USDT,STOP_LOSS,1614.330000,0.020000,-0.096805,-0.30,0.032319,0.032287,atr
2025-04-20 04:59:53,DOGE/USDT,STOP_LOSS,0.157130,20.000000,-0.010690,-0.34,0.003147,0.003143,atr
2025-04-20 05:00:13,ETH/USDT,BUY,1614.700000,0.020000,,,0.032294,,
2025-04-20 05:01:04,DOGE/USDT,BUY,0.157110,20.000000,,,0.003142,,
2025-04-20 07:23:32,BTC/USDT,STOP_LOSS,85136.170000,0.001000,-0.235257,-0.28,0.085201,0.085136,atr
2025-04-20 13:22:53,BTC/USDT,BUY,85160.020000,0.001000,,,0.085160,,
2025-04-20 13:30:06,ETH/USDT,STOP_LOSS,1614.600000,0.020000,-0.066586,-0.21,0.032294,0.032292,macd
2025-04-20 13:30:58,BTC/USDT,STOP_LOSS,85141.410000,0.001000,-0.188911,-0.22,0.085160,0.085141,atr
2025-04-20 13:32:05,BTC/USDT,BUY,85132.080000,0.001000,,,0.085132,,
2025-04-20 13:32:06,ETH/USDT,BUY,1613.900000,0.020000,,,0.032278,,
2025-04-20 14:44:33,BTC/USDT,STOP_LOSS,84942.310000,0.001000,-0.359844,-0.42,0.085132,0.084942,atr
2025-04-20 14:55:31,ETH/USDT,STOP_LOSS,1605.780000,0.020000,-0.226794,-0.70,0.032278,0.032116,atr
2025-04-20 14:57:14,ETH/USDT,BUY,1605.590000,0.020000,,,0.032112,,
2025-04-20 14:59:47,BTC/USDT,BUY,84955.430000,0.001000,,,0.084955,,
2025-04-20 15:01:27,BTC/USDT,STOP_LOSS,84913.940000,0.001000,-0.211359,-0.25,0.084955,0.084914,atr
2025-04-20 15:02:11,ETH/USDT,STOP_LOSS,1603.830000,0.020000,-0.099388,-0.31,0.032112,0.032077,atr
2025-04-20 15:02:22,BTC/USDT,BUY,84905.860000,0.001000,,,0.084906,,
2025-04-20 15:02:27,ETH/USDT,BUY,1604.490000,0.020000,,,0.032090,,
2025-04-20 15:05:05,ETH/USDT,STOP_LOSS,1603.490000,0.020000,-0.084160,-0.26,0.032090,0.032070,macd
2025-04-20 15:06:08,ETH/USDT,BUY,1603.500000,0.020000,,,0.032070,,
2025-04-20 15:06:29,BTC/USDT,STOP_LOSS,84872.070000,0.001000,-0.203568,-0.24,0.084906,0.084872,macd
2025-04-20 15:06:37,BTC/USDT,BUY,84873.760000,0.001000,,,0.084874,,
2025-04-20 15:06:46,BTC/USDT,STOP_LOSS,84873.750000,0.001000,-0.169758,-0.20,0.084874,0.084874,macd
2025-04-20 15:07:16,ETH/USDT,STOP_LOSS,1601.640000,0.020000,-0.101303,-0.32,0.032070,0.032033,atr
2025-04-20 15:07:23,BTC/USDT,BUY,84807.020000,0.001000,,,0.084807,,
2025-04-20 15:12:12,BTC/USDT,STOP_LOSS,84744.210000,0.001000,-0.232361,-0.27,0.084807,0.084744,atr
2025-04-20 15:12:29,ETH/USDT,BUY,1601.240000,0.020000,,,0.032025,,
2025-04-20 15:15:09,BTC/USDT,BUY,84868.000000,0.001000,,,0.084868,,
2025-04-20 15:17:39,BTC/USDT,STOP_LOSS,84806.080000,0.001000,-0.231594,-0.27,0.084868,0.084806,atr
2025-04-20 15:18:58,ETH/USDT,STOP_LOSS,1601.200000,0.020000,-0.064849,-0.20,0.032025,0.032024,macd
2025-04-20 15:19:20,ETH/USDT,BUY,1592.160000,0.020000,,,0.031843,,
2025-04-20 15:19:21,DOGE/USDT,STOP_LOSS,0.156560,20.000000,-0.017273,-0.55,0.003142,0.003131,atr
2025-04-20 15:19:36,DOGE/USDT,BUY,0.156710,20.000000,,,0.003134,,
2025-04-20 15:22:14,BTC/USDT,BUY,84763.860000,0.001000,,,0.084764,,
2025-04-20 15:31:07,BTC/USDT,STOP_LOSS,84720.000000,0.001000,-0.213344,-0.25,0.084764,0.084720,macd
2025-04-20 15:31:15,BTC/USDT,BUY,84733.170000,0.001000,,,0.084733,,
